Index,Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
0,6,DataTech Solutions,Display,All Ages,15 days,Instagram,0.07,9716.00,4.36,New York,German,100,1643,1,Foodies,1/6/2021
1,22,TechCorp,Influencer,All Ages,30 days,Facebook,0.02,12824.00,6.21,New York,French,319,8586,2,Foodies,1/22/2021
2,32,NexGen Systems,Influencer,All Ages,45 days,YouTube,0.07,13245.00,6.83,New York,English,309,2885,7,Foodies,2/1/2021
3,37,DataTech Solutions,Display,All Ages,45 days,Email,0.04,15779.00,7.24,New York,Spanish,822,7152,1,Foodies,2/6/2021
4,41,DataTech Solutions,Social Media,All Ages,30 days,Website,0.04,18684.00,4.57,New York,French,212,4718,4,Foodies,2/10/2021
5,70,Innovate Industries,Email,All Ages,15 days,Facebook,0.1,17414.00,4.74,Los Angeles,German,694,2836,2,Foodies,3/11/2021
6,74,NexGen Systems,Influencer,All Ages,45 days,Facebook,0.1,9310.00,5.63,New York,German,300,3687,9,Foodies,3/15/2021
7,86,TechCorp,Social Media,All Ages,30 days,YouTube,0.13,7515.00,7.38,Houston,Mandarin,635,8489,3,Foodies,3/27/2021
8,99,Alpha Innovations,Search,All Ages,60 days,Instagram,0.02,6565.00,3.12,New York,French,463,6061,8,Foodies,4/9/2021
9,138,DataTech Solutions,Influencer,All Ages,60 days,Instagram,0.04,8222.00,6.17,Houston,Mandarin,666,1435,4,Foodies,5/18/2021
10,154,Innovate Industries,Influencer,All Ages,30 days,Instagram,0.11,15303.00,7.41,Chicago,Spanish,901,8712,2,Foodies,6/3/2021
11,170,TechCorp,Search,All Ages,30 days,Google Ads,0.07,10690.00,5.41,Los Angeles,English,797,1306,9,Foodies,6/19/2021
12,173,DataTech Solutions,Influencer,All Ages,15 days,YouTube,0.11,7170.00,3.76,Los Angeles,German,540,6422,8,Foodies,6/22/2021
13,176,Innovate Industries,Social Media,All Ages,15 days,Website,0.09,6489.00,2.22,Chicago,English,683,9143,6,Foodies,6/25/2021
14,178,Alpha Innovations,Social Media,All Ages,45 days,YouTube,0.09,17837.00,3.84,Houston,English,944,9536,6,Foodies,6/27/2021
15,179,Innovate Industries,Display,All Ages,45 days,Email,0.13,11954.00,4.91,Miami,Mandarin,241,9184,8,Foodies,6/28/2021
16,194,NexGen Systems,Email,All Ages,15 days,Google Ads,0.1,6093.00,4.28,New York,Mandarin,423,1340,7,Foodies,7/13/2021
17,195,DataTech Solutions,Email,All Ages,45 days,Email,0.07,5272.00,3.62,Chicago,Spanish,939,9590,9,Foodies,7/14/2021
18,212,NexGen Systems,Social Media,All Ages,30 days,Instagram,0.02,6907.00,2.39,Houston,French,376,1503,5,Foodies,7/31/2021
19,266,Alpha Innovations,Display,All Ages,30 days,Website,0.07,18572.00,7.1,Chicago,French,661,8775,2,Foodies,9/23/2021
20,274,DataTech Solutions,Social Media,All Ages,45 days,Facebook,0.08,12970.00,7.25,Los Angeles,French,860,6750,6,Foodies,10/1/2021
21,310,NexGen Systems,Display,All Ages,30 days,Website,0.12,6813.00,5.59,Houston,Spanish,803,2031,3,Foodies,11/6/2021
22,336,Innovate Industries,Social Media,All Ages,15 days,Facebook,0.07,19395.00,4.14,Los Angeles,English,282,6235,9,Foodies,12/2/2021
23,344,Innovate Industries,Display,All Ages,60 days,Email,0.02,8583.00,5.82,Los Angeles,German,480,2818,9,Foodies,12/10/2021
24,357,Innovate Industries,Social Media,All Ages,15 days,YouTube,0.11,13928.00,3.44,New York,French,150,5057,9,Foodies,12/23/2021
25,364,NexGen Systems,Social Media,All Ages,30 days,Google Ads,0.08,19702.00,7.57,Chicago,French,710,3708,2,Foodies,12/30/2021
26,400,DataTech Solutions,Social Media,All Ages,30 days,Website,0.07,13468.00,6.05,Los Angeles,Spanish,868,3888,4,Foodies,2/4/2021
27,436,NexGen Systems,Social Media,All Ages,45 days,Email,0.09,12790.00,5.06,Los Angeles,German,285,4009,1,Foodies,3/12/2021
28,445,TechCorp,Search,All Ages,45 days,Instagram,0.07,8593.00,7.13,New York,English,200,6668,5,Foodies,3/21/2021
29,497,DataTech Solutions,Display,All Ages,30 days,Website,0.12,14037.00,3.98,Houston,French,512,5824,6,Foodies,5/12/2021
30,512,DataTech Solutions,Search,All Ages,30 days,Facebook,0.07,15713.00,7.67,Los Angeles,English,167,5803,9,Foodies,5/27/2021
31,548,NexGen Systems,Search,All Ages,15 days,Instagram,0.14,6341.00,7.89,New York,French,457,2621,3,Foodies,7/2/2021
32,571,Alpha Innovations,Email,All Ages,60 days,Google Ads,0.12,5236.00,6.38,Miami,Spanish,444,4623,10,Foodies,7/25/2021
33,589,TechCorp,Email,All Ages,45 days,YouTube,0.09,12528.00,6.38,Houston,Mandarin,607,6861,7,Foodies,8/12/2021
34,591,DataTech Solutions,Social Media,All Ages,60 days,Email,0.09,14635.00,2.71,Miami,French,177,2151,10,Foodies,8/14/2021
35,619,TechCorp,Influencer,All Ages,45 days,Google Ads,0.14,7803.00,6.58,New York,English,533,5832,2,Foodies,9/11/2021
